dateoftest,elapsed,label
[26/Jul/2013:14:09:08,372345,/batches/batch.json?course=387&offset=0&limit=20&_=1374847746280,200
[26/Jul/2013:14:09:10,296951,/batches/batch.json?course=388&offset=0&limit=20&_=1374847748175,200
[26/Jul/2013:14:09:10,277319,/batches/historyStatus?course=388&offset=0&limit=20&_=1374847748483,200
[26/Jul/2013:14:09:10,318628,/batches/batch.json?course=387&offset=0&limit=20&_=1374847749018,200
[26/Jul/2013:14:09:12,279298,/batches/batch.json?course=388&offset=0&limit=20&_=1374847750776,200
[26/Jul/2013:14:09:13,280375,/batches/batch.json?course=391&offset=0&limit=20&_=1374847751146,200
[26/Jul/2013:14:09:13,446119,/batches/batch.json?course=387&offset=0&limit=20&_=1374847751752,200
[26/Jul/2013:14:09:13,1037737,/api/batch/response/1374847699239,200
[26/Jul/2013:14:09:15,327704,/batches/batch.json?course=388&offset=0&limit=20&_=1374847753402,200
[26/Jul/2013:14:09:15,298120,/batches/batch.json?course=391&offset=0&limit=20&_=1374847753764,200
[26/Jul/2013:14:09:16,294625,/batches/batch.json?course=387&offset=0&limit=20&_=1374847754537,200
[26/Jul/2013:14:09:18,923557,/batches/batch.json?course=391&offset=0&limit=20&_=1374847756536,200
[26/Jul/2013:14:09:21,372347,/batches/batch.json?course=391&offset=0&limit=20&_=1374847759814,200
[26/Jul/2013:14:09:23,319564,/logout_user,302
[26/Jul/2013:14:09:23,356283,/rumba/login,405
[26/Jul/2013:14:09:23,414948,/logout_user,302
[26/Jul/2013:14:09:24,267892,/logout,302
[26/Jul/2013:14:09:24,152815,/,302
[26/Jul/2013:14:09:24,348078,/batches/batch.json?course=391&offset=0&limit=20&_=1374847762567,200
[26/Jul/2013:14:09:24,348724,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847762926,200
[26/Jul/2013:14:09:25,717658,/,200
[26/Jul/2013:14:09:26,837726,/,200
[26/Jul/2013:14:09:26,555728,/settings/,200
[26/Jul/2013:14:09:27,205173,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:09:27,329972,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847765683,200
[26/Jul/2013:14:09:28,214427,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:09:28,338584,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:09:29,337679,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:09:29,327867,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:09:30,491516,/settings/,200
[26/Jul/2013:14:09:32,403923,/batches/batch.json?course=391&offset=0&limit=20&_=1374847770690,200
[26/Jul/2013:14:09:35,315583,/batches/batch.json?course=391&offset=0&limit=20&_=1374847773375,200
[26/Jul/2013:14:09:36,888420,/api/batch/response/1374847700243,200
[26/Jul/2013:14:09:38,359501,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847776419,200
[26/Jul/2013:14:09:46,253916,/logout,302
[26/Jul/2013:14:09:46,170426,/,302
[26/Jul/2013:14:09:46,851703,/rumba/login?ticket=ST-3612-qDvWJ4dUU96OpbTQd3ge-pearson-intl.com,302
[26/Jul/2013:14:09:48,155545,/rumba/login,405
[26/Jul/2013:14:09:47,687094,/,200
[26/Jul/2013:14:09:48,149091,/rumba/login,302
[26/Jul/2013:14:09:48,804388,/rumba/login?ticket=ST-3613-yCMyBk4GnblX6DtncSxK-pearson-intl.com,302
[26/Jul/2013:14:09:49,678450,/,200
[26/Jul/2013:14:09:50,878473,/,200
[26/Jul/2013:14:09:50,1287726,/settings/personal/profile?_=1373891275490,200
[26/Jul/2013:14:09:50,481407,/courses/content,302
[26/Jul/2013:14:09:51,315367,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:09:51,535952,/courses/content/389,200
[26/Jul/2013:14:09:51,149050,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:09:51,424826,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:09:51,192136,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:09:52,609303,/courses/content/390,200
[26/Jul/2013:14:09:53,250806,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:09:53,551980,/app.php/products/courses/389/units/149.json?_=1371737566272,200
[26/Jul/2013:14:09:54,612545,/app.php/products/courses/390/units/149.json?_=1371737566272,200
